Previous_Crop,Soil_pH,Soil_Moisture,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Recommended_Next_Crop
Soybean,5.8,64.2,97,112,127,29.37,51.44,307.78,Wheat
Cotton,8.32,70.67,72,23,13,12.73,89.03,498.7,Peanut
Rice,4.99,27.99,167,85,13,28.43,90.76,17.37,Maize
Soybean,4.57,16.13,40,144,156,37.69,86.22,420.9,Wheat
Peanut,8.12,74.84,8,25,177,12.84,89.19,117.74,Sugarcane
Barley,4.77,88.12,7,2,49,41.14,65.58,196.93,Potato
Tomato,8.47,61.57,171,1,190,30.24,71.7,186.35,Cotton
Cotton,8.31,32.23,185,91,100,43.27,64.57,449.4,Peanut
Rice,5.05,89.73,103,1,192,15.18,82.85,252.24,Maize
Wheat,6.65,81.46,194,149,67,44.77,64.08,223.59,Soybean
Soybean,5.24,51.07,12,70,70,32.55,28.89,409.01,Wheat
Tomato,6.21,76.03,18,3,10,29.86,84.77,24.45,Cotton
Cotton,4.75,75.27,97,37,13,28.03,80.85,43.23,Peanut
Peanut,5.4,84.78,95,102,105,10.83,85.62,10.84,Sugarcane
Sugarcane,5.95,77.27,48,69,103,42.89,35.23,343.99,Rice
Soybean,6.25,61.49,99,51,130,32.54,41.73,262.81,Wheat
Peanut,8.41,58.74,81,30,127,13.21,43.66,438.01,Sugarcane
Cotton,7.73,47.39,157,153,7,10.73,60.65,249.27,Peanut
Soybean,7.45,60.12,65,35,170,11.78,30.71,110.91,Wheat
Tomato,6.65,73.62,90,153,136,31.33,50.83,402.57,Cotton
Cotton,7.86,87.52,58,155,18,31.49,34.57,147.16,Peanut
Potato,5.86,47.38,52,132,139,27.49,41.18,467.84,Barley
Rice,7.34,55.89,51,114,154,20.74,76.51,125.21,Maize
Tomato,8.48,45.58,80,73,111,28.61,88.38,83.86,Cotton
Soybean,5.76,63.48,158,17,57,28.07,21.83,246.66,Wheat
Sugarcane,7.2,60.39,14,14,24,10.68,65.27,25.26,Rice
Peanut,7.88,11.43,120,184,44,19.89,22.88,18.21,Sugarcane
Wheat,8.16,53.29,147,96,101,11.86,26.82,248.01,Soybean
Peanut,7.37,17.08,4,4,47,41.51,76.41,107.55,Sugarcane
Soybean,5.63,12.11,134,36,49,35.38,78.85,4.68,Wheat
Peanut,5.81,73.3,17,103,80,44.86,85.12,148.03,Sugarcane
Rice,4.58,30.69,55,85,43,20.58,57.94,238.68,Maize
Cotton,7.54,37.25,74,149,58,40.75,88.78,197.14,Peanut
Wheat,4.67,15.13,95,179,160,31.11,33.35,67.73,Soybean
Maize,7.96,24.36,113,14,102,25.86,39.98,289.84,Wheat
Soybean,4.97,71.25,100,16,77,17.79,30.76,355.17,Wheat
Barley,5.19,49.48,172,50,155,35.84,83.8,337.77,Potato
Maize,6.41,80.45,27,44,17,41.64,38.29,196.88,Wheat
Peanut,7.45,41.78,49,190,182,18.24,32.44,68.8,Sugarcane
Soybean,5.06,31.5,1,121,160,16.14,69.85,249.74,Wheat
Potato,6.26,37.81,67,155,115,34.37,26.17,445.22,Barley
Barley,6.43,67.02,127,186,105,44.19,23.59,234.36,Potato
Wheat,5.35,54.4,76,148,142,36.25,28.54,97.84,Soybean
Sugarcane,4.96,82.34,23,169,188,19.96,20.02,46.53,Rice
Potato,7.85,58.17,111,196,10,24.7,75.76,471.96,Barley
Maize,6.51,49.44,175,81,163,23.45,64.98,371.5,Wheat
Cotton,4.56,72.86,172,144,142,39.82,36.79,156.48,Peanut
Rice,7.71,85.8,118,195,180,37.0,38.64,147.68,Maize
Sugarcane,8.42,38.47,185,134,61,30.61,84.88,447.61,Rice
Potato,6.92,29.99,35,88,47,19.62,60.15,88.78,Barley
Cotton,6.51,59.3,1,100,93,42.83,75.88,267.52,Peanut
Cotton,8.01,49.91,126,39,142,32.87,56.22,356.75,Peanut
Soybean,8.31,89.13,104,167,190,43.97,39.02,198.2,Wheat
Potato,7.52,46.99,17,42,86,30.3,97.63,19.95,Barley
Wheat,6.28,15.95,176,72,170,38.74,65.25,113.88,Soybean
Peanut,6.87,88.19,7,178,49,38.46,30.48,450.9,Sugarcane
Barley,7.3,77.49,185,22,59,21.81,52.49,261.56,Potato
Barley,5.28,24.26,14,94,58,43.74,46.35,407.72,Potato
Maize,6.29,82.37,144,159,14,10.77,37.13,277.84,Wheat
Maize,7.82,37.25,22,158,28,36.9,94.68,471.8,Wheat
Barley,7.12,40.17,193,16,39,43.79,90.47,454.57,Potato
Wheat,6.14,82.51,197,111,30,21.86,35.93,241.44,Soybean
Rice,7.15,52.41,92,102,72,32.68,48.17,159.14,Maize
Tomato,4.97,21.02,154,57,10,29.68,80.99,300.83,Cotton
Peanut,6.11,39.52,164,85,80,36.65,36.68,337.44,Sugarcane
Rice,7.67,67.77,48,34,61,40.32,67.33,249.18,Maize
Soybean,5.38,23.93,63,29,135,31.11,75.98,411.14,Wheat
Tomato,5.24,57.22,33,191,50,38.56,72.32,91.66,Cotton
Tomato,8.3,65.62,17,180,56,20.93,76.51,167.21,Cotton
Potato,5.34,37.51,63,178,131,18.0,76.54,343.19,Barley
Wheat,5.54,65.51,105,103,163,25.07,97.18,123.34,Soybean
Wheat,8.38,80.74,73,164,146,33.72,47.72,219.92,Soybean
Tomato,7.44,47.77,101,121,23,16.55,90.29,481.87,Cotton
Potato,7.3,40.63,171,133,40,33.81,21.74,312.94,Barley
Peanut,7.91,30.09,16,33,48,23.79,43.06,474.53,Sugarcane
Tomato,4.96,58.34,186,55,173,37.85,23.89,361.22,Cotton
Sugarcane,7.32,80.39,140,24,35,11.29,72.1,362.33,Rice
Maize,6.51,35.97,51,114,9,33.38,28.06,295.93,Wheat
Maize,7.82,41.7,187,12,77,32.74,87.66,71.1,Wheat
Rice,6.53,42.53,169,62,134,42.93,71.73,259.86,Maize
Soybean,6.98,54.86,63,101,139,34.97,22.31,126.33,Wheat
Maize,6.41,28.27,193,193,85,37.87,77.18,499.34,Wheat
Cotton,6.41,75.78,33,121,175,41.66,88.96,133.48,Peanut
Rice,7.57,33.65,94,119,164,33.63,72.89,115.34,Maize
Maize,7.01,66.43,86,132,163,20.16,22.44,311.94,Wheat
Soybean,7.03,51.06,198,10,59,40.44,88.63,255.47,Wheat
Wheat,6.3,56.87,101,108,95,36.17,78.6,10.68,Soybean
Wheat,6.62,24.37,191,103,7,24.86,50.28,64.77,Soybean
Peanut,7.48,68.8,160,110,134,34.87,46.29,405.52,Sugarcane
Tomato,7.8,25.09,139,171,106,40.37,58.39,241.85,Cotton
Sugarcane,7.29,19.08,75,68,170,44.15,89.37,73.01,Rice
Wheat,8.2,53.73,18,101,57,43.33,40.16,232.62,Soybean
Potato,7.78,66.74,136,1,80,21.39,28.08,126.57,Barley
Maize,6.75,14.0,73,167,85,24.76,89.17,111.8,Wheat
Potato,7.19,15.55,144,36,173,13.83,22.1,478.86,Barley
Soybean,8.21,74.21,49,117,33,18.66,92.88,181.01,Wheat
Wheat,6.98,74.72,38,48,83,40.88,44.46,23.22,Soybean
Sugarcane,7.8,29.62,168,74,116,22.63,60.66,485.16,Rice
Soybean,7.26,59.22,137,163,199,31.72,30.58,397.42,Wheat
Cotton,6.71,45.45,11,74,21,33.31,92.18,127.21,Peanut
Cotton,5.47,60.62,78,197,148,37.36,79.99,204.45,Peanut
Potato,6.2,79.03,14,33,14,16.4,93.93,431.14,Barley
Tomato,8.37,16.39,27,57,132,20.67,74.66,178.71,Cotton
Rice,7.13,72.24,131,110,101,25.69,34.78,283.7,Maize
Tomato,6.76,49.44,35,164,144,22.77,44.66,267.43,Cotton
Peanut,8.23,55.13,118,95,199,44.4,58.95,200.65,Sugarcane
Tomato,6.85,62.31,64,59,146,39.22,68.58,319.75,Cotton
Peanut,6.6,83.81,97,139,4,26.79,94.12,236.65,Sugarcane
Peanut,7.54,14.54,46,31,22,40.77,50.72,10.62,Sugarcane
Sugarcane,7.35,12.36,80,131,82,22.17,76.25,407.19,Rice
Wheat,5.27,24.26,38,105,13,37.5,96.88,56.58,Soybean
Sugarcane,6.39,88.92,37,32,9,17.83,32.19,232.04,Rice
Peanut,6.39,67.21,43,42,30,37.03,89.02,289.95,Sugarcane
Soybean,6.01,59.17,178,111,140,25.98,53.66,352.75,Wheat
Cotton,6.57,13.76,96,106,126,13.76,78.59,205.4,Peanut
Peanut,6.15,80.33,123,8,149,19.56,43.48,367.77,Sugarcane
Sugarcane,5.3,75.02,25,178,36,24.08,46.72,65.68,Rice
Soybean,6.15,63.18,163,113,166,36.23,22.17,326.72,Wheat
Sugarcane,4.79,37.13,196,124,137,12.55,97.71,413.17,Rice
Tomato,6.8,15.64,96,19,30,33.08,85.08,444.72,Cotton
Maize,7.91,56.4,0,166,170,35.06,27.51,289.78,Wheat
Potato,7.4,67.58,52,150,98,32.89,99.96,156.45,Barley
Rice,5.94,17.54,5,40,163,36.62,68.4,81.68,Maize
Sugarcane,4.85,60.7,36,43,34,16.24,88.3,172.78,Rice
Rice,5.31,32.91,1,124,110,30.55,25.33,269.99,Maize
Barley,6.68,71.14,122,34,67,42.94,51.16,98.17,Potato
Sugarcane,5.33,53.17,68,150,182,31.38,73.57,476.26,Rice
Maize,6.68,20.32,168,57,116,31.4,28.51,448.57,Wheat
Rice,5.43,52.12,178,47,195,35.78,59.11,16.48,Maize
Peanut,7.9,41.66,174,57,125,21.66,55.41,280.98,Sugarcane
Sugarcane,6.09,24.43,12,100,174,34.52,37.28,394.65,Rice
Wheat,5.48,77.32,68,56,5,42.07,44.02,122.7,Soybean
Potato,7.75,10.88,65,166,118,10.38,97.37,261.95,Barley
Maize,5.87,34.97,58,155,155,40.45,43.09,203.0,Wheat
Rice,4.95,11.01,67,63,29,17.65,37.07,98.27,Maize
Maize,6.78,17.68,58,61,154,25.96,62.9,307.37,Wheat
Soybean,6.83,33.77,116,82,68,39.83,73.68,496.85,Wheat
Potato,7.36,14.34,9,112,107,38.84,78.01,182.64,Barley
Peanut,5.46,57.73,140,111,166,41.22,80.34,276.19,Sugarcane
Sugarcane,6.28,16.95,129,61,34,42.91,22.95,163.93,Rice
Sugarcane,5.63,66.14,14,93,102,25.65,51.5,438.47,Rice
Sugarcane,4.82,14.21,45,84,43,32.97,81.92,432.3,Rice
Potato,8.01,14.74,184,25,142,23.67,92.39,89.39,Barley
Wheat,7.42,34.43,137,178,159,22.28,68.18,449.97,Soybean
Barley,5.71,81.73,149,120,28,25.11,24.18,75.75,Potato
Cotton,6.9,61.31,88,49,190,36.01,51.73,47.72,Peanut
Tomato,5.31,71.61,76,114,5,27.55,25.94,326.47,Cotton
Rice,8.06,21.32,135,35,26,38.49,79.88,192.95,Maize
Wheat,4.96,76.73,148,153,27,36.08,25.08,265.37,Soybean
Peanut,4.52,10.65,149,32,132,10.72,34.86,326.29,Sugarcane
Rice,6.51,27.04,109,122,168,32.06,53.36,26.42,Maize
Sugarcane,6.83,59.29,96,99,55,25.28,57.01,146.48,Rice
Maize,6.82,40.02,44,67,111,25.98,52.52,230.45,Wheat
Peanut,4.72,88.74,90,72,53,38.64,57.07,133.29,Sugarcane
Rice,5.76,12.43,167,135,79,29.17,77.06,24.49,Maize
Sugarcane,6.5,89.89,113,193,104,41.0,49.54,43.34,Rice
Rice,5.37,59.89,149,22,17,34.95,63.82,400.87,Maize
Maize,7.99,54.7,157,69,42,29.35,44.27,455.69,Wheat
Sugarcane,4.85,14.76,189,54,88,36.41,48.29,76.12,Rice
Barley,6.45,31.87,72,170,73,11.34,69.1,124.63,Potato
Wheat,7.27,83.97,172,109,156,10.95,59.24,326.12,Soybean
Soybean,5.55,38.34,34,148,9,12.92,77.84,477.14,Wheat
Tomato,7.0,62.93,41,149,133,25.31,64.84,149.79,Cotton
Potato,7.82,89.96,132,8,88,18.24,84.29,427.61,Barley
Tomato,5.26,31.05,26,161,131,44.45,55.47,253.01,Cotton
Peanut,8.17,56.09,197,186,33,28.98,59.28,478.28,Sugarcane
Tomato,6.71,65.72,189,153,82,33.18,73.6,68.13,Cotton
Sugarcane,5.7,23.17,31,128,160,19.76,37.7,486.84,Rice
Barley,6.22,21.89,135,107,131,21.26,50.87,220.49,Potato
Soybean,5.75,46.5,102,132,171,21.74,69.99,476.47,Wheat
Wheat,7.4,40.87,84,168,97,34.46,22.31,229.35,Soybean
Wheat,7.69,67.14,145,190,30,26.58,54.96,265.04,Soybean
Maize,7.83,15.56,77,149,79,28.12,67.91,402.39,Wheat
Potato,8.44,87.77,142,67,193,30.72,97.39,361.31,Barley
Rice,7.67,11.14,153,175,185,36.91,90.16,309.8,Maize
Barley,6.91,58.11,180,65,59,13.16,42.46,208.49,Potato
Rice,5.86,55.01,43,143,1,37.19,60.58,396.22,Maize
Soybean,6.68,20.78,31,52,35,29.71,24.51,474.11,Wheat
Tomato,4.66,22.07,27,127,197,33.42,39.26,4.91,Cotton
Wheat,7.48,73.41,166,64,124,21.46,81.99,293.92,Soybean
Soybean,6.28,81.0,159,63,187,24.33,29.87,432.99,Wheat
Tomato,4.58,32.64,76,67,150,18.09,40.62,326.56,Cotton
Wheat,4.75,45.04,17,190,102,44.28,95.52,400.41,Soybean
Tomato,6.05,38.4,102,61,174,27.4,85.91,447.53,Cotton
Potato,6.83,15.8,69,80,115,44.86,82.55,375.48,Barley
Barley,6.36,63.86,118,70,100,27.14,89.16,358.51,Potato
Peanut,6.98,76.02,138,113,45,17.69,79.97,482.37,Sugarcane
Soybean,6.42,34.39,159,172,79,27.76,29.65,431.84,Wheat
Soybean,7.15,89.21,147,51,106,11.39,61.32,407.69,Wheat
Cotton,5.38,16.07,96,115,43,41.67,55.54,43.2,Peanut
Sugarcane,4.95,62.94,167,124,146,38.65,44.89,119.51,Rice
Potato,6.89,45.86,135,126,48,35.4,86.72,278.38,Barley
Potato,6.44,45.73,34,64,87,31.34,57.13,354.78,Barley
Rice,4.61,46.61,68,129,57,30.29,24.82,151.61,Maize
Tomato,6.02,30.69,125,176,90,44.89,42.0,46.66,Cotton
Sugarcane,4.92,67.25,98,21,134,19.73,38.29,155.55,Rice
Barley,6.63,67.73,77,156,93,37.29,91.0,385.51,Potato
Barley,6.08,32.59,148,162,168,30.35,71.8,438.7,Potato
Potato,6.95,76.82,110,75,77,44.16,64.83,456.45,Barley
Barley,7.72,35.35,151,151,121,38.97,60.53,189.43,Potato
Cotton,5.7,68.01,16,93,142,44.95,72.01,186.27,Peanut
Soybean,8.35,19.68,145,157,75,30.59,80.39,203.35,Wheat
Maize,6.64,23.5,139,169,52,17.16,64.35,187.9,Wheat
Peanut,6.97,35.26,143,70,22,27.63,95.06,333.1,Sugarcane
Rice,7.22,57.51,3,105,76,34.89,98.15,179.16,Maize
Tomato,7.17,61.64,161,49,72,37.1,99.63,10.17,Cotton
Peanut,6.54,41.71,91,101,87,10.02,73.55,219.51,Sugarcane
Tomato,6.22,16.23,173,198,102,27.68,94.61,112.08,Cotton
Wheat,4.72,39.89,74,187,93,18.23,52.36,14.4,Soybean
Peanut,4.59,65.1,158,112,192,40.62,88.77,235.42,Sugarcane
Maize,5.93,63.68,152,29,59,15.35,92.73,102.98,Wheat
Potato,5.83,22.82,102,11,9,33.33,92.33,226.37,Barley
Cotton,6.05,10.62,23,176,101,19.31,86.47,138.87,Peanut
Soybean,5.05,70.24,64,81,57,22.48,52.53,301.85,Wheat
Soybean,7.45,18.51,116,45,174,42.92,32.71,495.44,Wheat
Cotton,7.93,16.59,152,170,142,18.42,46.72,273.62,Peanut
Sugarcane,8.25,10.22,155,129,8,13.33,81.38,323.45,Rice
Wheat,6.47,44.61,163,96,12,12.42,38.63,459.64,Soybean
Tomato,7.3,50.26,81,79,150,27.66,58.26,187.0,Cotton
Maize,7.92,61.01,5,53,160,32.46,65.23,83.27,Wheat
Barley,6.17,33.69,65,34,136,21.46,68.31,141.4,Potato
Peanut,5.74,66.83,66,51,130,34.16,94.86,201.4,Sugarcane
Wheat,8.25,23.55,71,160,72,12.14,72.92,322.51,Soybean
Peanut,6.56,76.56,94,83,115,40.01,82.9,2.29,Sugarcane
Maize,6.49,55.75,47,71,152,38.58,66.55,426.69,Wheat
Rice,5.21,56.71,69,178,124,44.49,86.69,38.05,Maize
Rice,4.93,26.78,77,25,110,42.78,41.09,450.33,Maize
Wheat,7.87,15.93,66,189,70,22.47,36.79,474.72,Soybean
Potato,6.96,47.18,175,60,163,23.97,94.11,495.05,Barley
Maize,5.8,59.25,64,153,88,36.11,75.48,404.76,Wheat
Maize,5.27,17.6,171,36,19,14.69,73.72,70.93,Wheat
Cotton,6.72,86.04,62,157,80,20.99,57.38,353.08,Peanut
Potato,6.84,88.43,45,94,181,14.15,50.14,101.66,Barley
Tomato,5.33,53.64,146,10,89,25.92,64.46,448.56,Cotton
Tomato,7.91,86.01,191,180,18,29.32,29.65,158.3,Cotton
Barley,4.84,24.36,72,40,187,17.39,56.38,163.4,Potato
Soybean,5.92,12.03,70,132,164,10.93,56.43,458.83,Wheat
Rice,7.22,13.15,109,65,111,35.18,63.07,6.62,Maize
Tomato,5.6,57.0,177,140,130,10.7,70.77,96.98,Cotton
Potato,7.81,14.93,62,190,106,44.07,96.59,210.97,Barley
Maize,7.46,86.68,40,152,120,17.76,72.17,350.36,Wheat
Tomato,7.66,21.35,6,171,91,33.24,90.7,323.78,Cotton
Maize,4.98,34.38,136,141,146,25.22,64.5,334.71,Wheat
Tomato,5.06,75.8,3,68,180,12.09,70.15,440.01,Cotton
Rice,5.65,27.5,88,58,173,26.53,25.59,60.52,Maize
Peanut,6.57,29.44,176,183,79,28.09,30.66,261.08,Sugarcane
Tomato,7.49,61.38,133,179,183,39.91,66.37,362.74,Cotton
Potato,7.85,32.09,81,65,197,35.63,51.66,318.06,Barley
Tomato,7.32,27.4,20,67,30,12.78,83.9,224.16,Cotton
Soybean,8.21,30.33,142,11,52,17.32,63.45,8.56,Wheat
Rice,7.45,49.25,127,67,112,20.92,90.58,30.23,Maize
Potato,5.73,87.29,194,170,33,14.07,97.79,59.47,Barley
Cotton,5.56,76.58,193,72,30,25.99,31.81,171.61,Peanut
Potato,7.28,32.77,183,5,187,44.45,51.59,58.83,Barley
Soybean,5.27,39.07,104,14,138,28.01,73.2,213.04,Wheat
Peanut,4.87,47.16,103,41,5,35.97,44.44,89.32,Sugarcane
Rice,6.63,88.31,67,30,26,33.9,41.36,389.58,Maize
Cotton,7.79,23.79,159,180,6,39.75,85.1,435.74,Peanut
Soybean,4.91,38.6,193,5,48,17.55,98.43,194.82,Wheat
Soybean,7.67,68.35,109,32,95,36.38,81.9,255.67,Wheat
Wheat,7.75,87.12,156,156,199,40.85,61.89,476.75,Soybean
Rice,6.43,22.45,65,20,59,16.0,55.4,267.75,Maize
Potato,4.73,28.19,161,123,32,22.14,63.17,497.54,Barley
Maize,5.2,28.06,26,181,46,43.95,57.03,71.07,Wheat
Peanut,7.33,11.67,59,183,171,37.33,60.23,431.11,Sugarcane
Maize,7.35,58.33,117,93,118,19.89,36.28,248.6,Wheat
Potato,8.09,63.66,166,148,26,29.74,92.3,11.36,Barley
Potato,6.83,58.2,43,99,21,24.15,80.36,486.11,Barley
Rice,5.0,15.71,35,54,46,27.15,74.48,482.52,Maize
Potato,4.99,15.54,18,185,92,22.43,95.99,191.64,Barley
Wheat,7.38,26.83,90,63,175,19.78,42.75,477.07,Soybean
Cotton,5.24,33.22,44,85,157,33.62,26.49,70.5,Peanut
Potato,5.81,72.92,148,173,1,37.25,86.09,340.06,Barley
Maize,6.45,22.75,150,21,142,40.59,99.87,95.96,Wheat
Potato,4.6,13.53,154,59,46,15.44,66.27,123.32,Barley
Wheat,5.5,41.52,97,103,26,38.8,24.7,389.67,Soybean
Tomato,6.13,43.31,199,138,198,18.92,82.44,188.68,Cotton
Tomato,5.62,46.07,18,46,26,24.96,25.9,3.56,Cotton
Soybean,5.05,76.15,40,158,140,41.55,63.2,207.12,Wheat
Peanut,7.41,17.84,25,76,182,25.91,42.2,114.03,Sugarcane
Barley,7.75,66.32,27,17,144,16.9,93.2,341.66,Potato
Cotton,5.53,37.04,63,21,74,15.6,56.11,97.22,Peanut
Sugarcane,7.6,34.8,67,183,186,26.55,91.88,421.13,Rice
Soybean,6.04,84.6,79,144,9,36.69,43.93,133.55,Wheat
Peanut,6.53,29.88,50,37,120,44.9,50.99,196.51,Sugarcane
Tomato,7.92,61.4,101,24,32,37.56,95.77,149.02,Cotton
Maize,7.5,32.01,175,31,164,40.7,36.11,321.96,Wheat
Sugarcane,7.72,50.57,9,142,125,36.17,66.28,50.58,Rice
Peanut,5.05,72.9,166,12,7,41.34,51.08,239.05,Sugarcane
Peanut,4.78,80.54,99,185,160,12.67,81.93,167.23,Sugarcane
Soybean,8.07,77.1,121,177,134,42.55,30.34,442.07,Wheat
Sugarcane,6.05,56.57,146,10,161,23.87,54.98,36.71,Rice
Rice,5.65,29.91,63,12,70,42.26,75.91,414.85,Maize
Barley,7.4,62.9,123,96,134,12.65,52.56,83.84,Potato
Rice,7.85,66.79,18,177,40,35.03,24.68,44.29,Maize
Sugarcane,7.95,10.86,75,100,117,35.75,76.41,101.16,Rice
Rice,5.76,45.14,61,37,54,44.89,60.26,51.33,Maize
Wheat,7.91,77.46,140,0,6,36.91,20.9,260.49,Soybean
Tomato,4.66,49.17,24,38,83,23.39,69.01,494.11,Cotton
Wheat,4.7,34.91,88,26,145,29.5,93.59,17.16,Soybean
Potato,6.99,79.74,91,35,170,22.83,28.88,230.56,Barley
Rice,4.75,22.47,41,159,77,16.86,67.25,193.04,Maize
Potato,5.8,26.52,116,168,167,18.7,78.29,169.8,Barley
Maize,7.19,64.99,38,142,52,17.77,25.66,165.93,Wheat
Cotton,5.85,38.19,157,30,13,29.21,21.81,447.51,Peanut
Maize,5.22,67.04,132,126,148,41.72,57.14,9.49,Wheat
Sugarcane,5.63,22.62,80,5,112,41.95,83.29,387.46,Rice
Peanut,6.33,30.18,145,88,56,11.92,32.86,126.47,Sugarcane
Tomato,6.4,22.53,106,179,90,12.8,86.93,191.65,Cotton
Rice,7.63,86.23,110,149,45,18.58,72.53,210.07,Maize
Soybean,7.5,42.43,20,30,153,18.93,46.57,152.37,Wheat
Cotton,6.33,36.98,49,99,90,13.32,61.27,46.78,Peanut
Barley,7.88,11.14,120,72,151,23.6,97.25,57.17,Potato
Barley,4.96,22.27,133,45,132,30.57,37.31,149.07,Potato
Barley,5.52,43.69,49,194,169,30.24,59.96,410.9,Potato
Rice,7.81,15.48,193,96,101,29.02,69.96,67.31,Maize
Barley,6.01,50.86,114,170,105,21.85,31.04,371.32,Potato
Wheat,8.42,46.4,0,0,170,34.73,23.48,144.43,Soybean
Cotton,6.37,71.37,184,171,127,38.93,21.08,441.73,Peanut
Wheat,7.67,62.78,29,56,31,22.12,45.98,214.16,Soybean
Peanut,6.11,45.68,185,8,5,12.99,25.92,85.86,Sugarcane
Cotton,6.2,27.97,106,4,73,20.37,84.3,492.92,Peanut
Wheat,6.03,68.15,179,78,194,14.81,99.79,88.32,Soybean
Cotton,7.38,66.63,164,113,134,26.36,24.9,283.81,Peanut
Peanut,6.69,22.26,47,8,28,15.46,54.62,284.64,Sugarcane
Potato,8.28,83.18,86,172,33,26.2,22.06,186.41,Barley
Rice,5.5,15.15,128,23,6,17.74,30.72,475.74,Maize
Rice,4.9,14.4,18,169,80,35.86,45.83,421.94,Maize
Barley,6.07,24.99,45,149,76,10.96,51.5,414.91,Potato
Maize,6.97,82.76,194,102,57,29.42,95.18,487.08,Wheat
Barley,7.94,51.6,129,59,84,15.93,51.67,228.55,Potato
Sugarcane,5.88,73.04,55,85,158,10.03,59.7,48.59,Rice
Wheat,7.12,28.23,144,164,72,40.42,39.65,382.73,Soybean
Cotton,5.9,49.22,91,115,44,33.5,20.01,190.41,Peanut
Maize,6.97,38.66,81,166,46,13.46,91.95,95.17,Wheat
Peanut,8.04,76.23,78,83,76,33.24,26.54,241.62,Sugarcane
Sugarcane,5.43,11.81,149,89,199,31.41,97.14,462.86,Rice
Peanut,6.12,29.51,104,88,72,26.57,30.47,85.68,Sugarcane
Rice,8.47,22.21,26,180,167,24.67,68.39,424.35,Maize
Rice,7.97,78.74,54,119,115,41.05,99.95,209.1,Maize
Barley,6.76,47.4,159,155,29,18.58,31.08,68.4,Potato
Wheat,6.57,42.34,59,142,189,23.94,53.92,424.19,Soybean
Maize,5.64,45.96,108,187,70,21.52,82.43,484.81,Wheat
Tomato,6.57,87.75,155,187,144,36.99,22.58,145.64,Cotton
Sugarcane,7.89,78.02,155,5,102,42.08,75.18,151.77,Rice
Sugarcane,7.24,66.51,119,51,132,39.74,26.43,195.27,Rice
Barley,5.66,33.24,152,139,103,37.92,38.92,407.07,Potato
Rice,5.31,23.21,84,18,121,44.54,32.81,5.21,Maize
Barley,5.56,83.71,85,74,128,34.4,92.59,111.98,Potato
Cotton,5.18,43.85,116,129,30,36.29,34.44,352.95,Peanut
Maize,4.88,32.3,153,54,162,44.4,23.23,202.82,Wheat
Wheat,6.18,47.67,107,14,108,10.24,67.01,165.15,Soybean
Potato,4.95,83.43,74,191,71,32.19,47.69,436.14,Barley
Soybean,5.19,40.97,118,99,157,35.86,52.46,458.67,Wheat
Soybean,6.69,55.01,198,68,126,42.12,29.53,473.99,Wheat
Barley,5.16,74.24,144,142,84,40.93,79.86,136.28,Potato
Cotton,4.76,44.17,6,42,14,39.47,68.12,456.26,Peanut
Maize,5.77,28.68,183,16,55,43.1,49.14,368.48,Wheat
Tomato,5.38,89.56,191,97,187,28.81,33.73,77.11,Cotton
Soybean,6.56,86.53,147,115,26,10.24,67.48,305.14,Wheat
Maize,4.91,77.48,165,151,1,10.39,82.29,13.17,Wheat
Wheat,7.51,65.07,74,73,73,29.06,44.99,354.19,Soybean
Peanut,8.12,33.59,57,115,63,25.23,22.07,366.78,Sugarcane
Cotton,7.47,83.07,15,29,4,25.79,37.15,394.67,Peanut
Rice,6.63,32.04,178,66,90,24.01,74.59,86.26,Maize
Maize,7.94,74.06,26,50,67,42.12,99.13,314.12,Wheat
Wheat,7.28,83.46,50,59,140,22.57,21.07,89.43,Soybean
Tomato,4.54,58.24,74,2,80,39.97,44.49,473.33,Cotton
Potato,6.08,74.24,143,103,84,41.6,24.96,337.51,Barley
Rice,7.9,73.34,86,4,22,27.48,45.31,47.66,Maize
Potato,5.88,25.45,187,27,96,25.64,52.47,93.52,Barley
Tomato,4.64,63.43,122,107,177,36.64,93.67,331.73,Cotton
Wheat,7.48,17.48,75,138,123,34.78,26.44,238.34,Soybean
Soybean,7.71,50.63,39,199,36,21.5,82.17,368.15,Wheat
Potato,5.14,22.98,66,100,29,13.59,51.64,140.39,Barley
Rice,6.65,43.31,129,199,150,19.27,84.9,328.96,Maize
Barley,5.27,76.64,101,75,161,14.59,61.07,88.48,Potato
Sugarcane,7.38,88.97,175,14,191,20.32,23.14,271.86,Rice
Maize,5.59,35.44,179,82,182,19.16,95.7,478.9,Wheat
Soybean,5.76,52.56,151,47,198,32.32,26.62,314.11,Wheat
Potato,7.88,50.9,92,126,116,43.41,67.81,25.0,Barley
Peanut,6.41,86.35,109,45,8,34.0,90.21,494.38,Sugarcane
Maize,7.18,48.29,81,27,131,42.43,26.38,78.43,Wheat
Barley,6.11,65.93,77,6,65,37.44,64.31,359.03,Potato
Tomato,5.69,83.74,1,198,119,35.48,85.94,266.27,Cotton
Sugarcane,7.0,39.87,64,93,123,24.49,98.91,147.18,Rice
Wheat,5.12,82.17,19,81,160,21.37,77.95,88.66,Soybean
Barley,5.99,83.4,33,87,159,39.62,42.27,88.85,Potato
Barley,5.34,84.45,40,133,43,41.69,75.97,429.2,Potato
Tomato,7.28,31.64,168,185,108,25.82,76.46,436.46,Cotton
Cotton,8.28,42.03,22,67,36,10.32,76.0,232.57,Peanut
